name,date,number,volume,first,high,low,value,last,close
باما,1393/09/04,133,349621,9250,9295,9101,3235000000,9202,9253
باما,1393/09/05,211,561436,9300,9623,9252,5345000000,9623,9520
باما,1393/09/08,337,984931,9900,9900,9750,9744000000,9900,9893
باما,1393/09/09,524,1752000,10288,10288,9910,17972000000,10288,10255
باما,1393/09/10,548,962323,10650,10650,10303,10114000000,10390,10510
باما,1393/09/11,177,332518,10470,10470,10090,3373000000,10090,10145
باما,1393/10/06,69,60020,9665,9890,9305,575797000,9560,9592
باما,1393/10/07,155,222533,9724,9970,9700,2203000000,9900,9900
باما,1393/10/08,144,188646,10190,10200,9504,1842000000,9628,9763
باما,1393/10/09,45,50168,9624,9799,9624,487920000,9631,9751
باما,1393/10/10,57,219490,9799,9799,9545,2124000000,9688,9676
باما,1393/10/13,52,148368,9749,9880,9563,1447000000,9563,9747
باما,1393/10/14,42,50227,9450,9740,9431,478194000,9511,9676
باما,1393/10/15,34,61943,9452,9552,9451,590651000,9501,9622
باما,1393/10/16,80,155841,9500,9550,9238,1447000000,9238,9294
باما,1393/10/17,78,84454,8923,9180,8923,761554000,9015,9148
باما,1393/10/20,90,196410,9030,9030,8783,1728000000,8783,8798
باما,1393/10/21,120,222694,8500,8750,8449,1896000000,8698,8516
باما,1393/10/22,25,33929,8850,8856,8850,300357000,8856,8587
باما,1393/10/23,84,186650,8900,8930,8550,1633000000,8650,8749
باما,1393/10/24,213,408556,8500,8500,8400,3432000000,8400,8400
باما,1393/10/27,70,145030,8400,8650,8313,1222000000,8650,8421
باما,1393/10/28,29,80187,8410,8700,8410,688888000,8700,8506
باما,1393/10/29,73,280097,8403,8700,8400,2382000000,8400,8505
باما,1393/10/30,35,90880,8257,8450,8200,759384000,8450,8420
باما,1393/11/01,84,273575,8212,8300,8084,2218000000,8084,8106
باما,1393/11/04,15,32213,8100,8200,7850,261545000,8040,8109
باما,1393/11/25,10,10295,8999,8999,8700,89975000,8703,8674
باما,1393/11/26,22,23344,8700,8990,8361,200153000,8560,8659
باما,1393/11/27,40,33780,8650,8889,8650,295907000,8870,8680
باما,1393/11/28,30,108811,8502,8600,8470,925461000,8600,8561
باما,1393/11/29,37,123904,8366,8559,8360,1038000000,8559,8417
باما,1393/12/02,40,88358,8511,8630,8250,734242000,8310,8310
باما,1393/12/03,36,92786,8248,8500,8150,763788000,8300,8232
باما,1393/12/04,20,30991,8153,8199,8150,252675000,8199,8201
باما,1393/12/05,9,20310,8200,8218,8200,166641000,8210,8202
باما,1393/12/06,28,26365,8300,8500,8210,219580000,8213,8244
باما,1393/12/09,26,174424,8200,8297,8200,1440000000,8297,8253
باما,1393/12/10,25,74816,8260,8320,8217,619333000,8300,8276
باما,1393/12/11,79,377354,8485,8544,8480,3208000000,8501,8501
باما,1393/12/12,39,103473,8300,8578,8300,879944000,8500,8504
باما,1393/12/13,11,22910,8499,8536,8499,194739000,8536,8503
باما,1393/12/16,13,29278,8302,8500,8301,246142000,8301,8468
باما,1393/12/17,10,8848,8597,8597,8202,72809000,8206,8442
باما,1393/12/18,37,86780,8579,8579,8105,710020000,8152,8182
باما,1393/12/19,27,25506,8095,8330,8050,209465000,8210,8192
باما,1393/12/20,14,31448,8200,8210,8200,257892000,8201,8195
باما,1393/12/23,119,493018,8057,8190,8002,3975000000,8051,8062
باما,1394/01/19,123,265009,8822,9150,8822,2394000000,8943,9035
باما,1394/01/22,38,78176,8802,9140,8802,699798000,8950,8953
باما,1394/01/23,39,81604,8850,9010,8703,726990000,9000,8909
باما,1394/01/24,24,53852,9100,9100,8904,483848000,9000,8960
باما,1394/01/25,38,54976,8900,9090,8900,496642000,9000,9011
باما,1394/01/26,60,208418,9100,9200,8900,1883000000,9010,9033
باما,1394/01/29,46,46979,9150,9200,8860,423136000,9045,9018
باما,1394/01/30,55,65285,9150,9187,8700,587047000,9001,8997
باما,1394/01/31,134,260536,9090,9090,8920,2340000000,8955,8981
باما,1394/02/15,17,82492,3850,3850,3751,311614000,3800,3778
باما,1394/02/16,42,194859,3920,3929,3919,765279000,3929,3924
باما,1394/02/19,181,830860,4080,4080,3900,3352000000,3900,4034
باما,1394/02/20,68,247897,3910,3912,3873,961514000,3873,3879
باما,1394/02/21,47,65435,3895,3980,3802,255143000,3901,3886
باما,1394/02/22,8,32386,3900,3919,3833,125987000,3879,3887
باما,1394/02/23,62,123735,3989,4042,3989,498673000,4000,3976
باما,1394/02/27,41,98353,4001,4001,3910,392175000,3974,3982
باما,1394/02/28,12,10994,3824,4000,3824,42947000,3860,3978
باما,1394/02/29,31,74350,3999,3999,3819,286626000,3992,3932
باما,1394/02/30,18,27930,3900,3900,3780,108557000,3830,3926
باما,1394/03/02,35,51222,3850,3850,3730,192928000,3740,3885
باما,1394/03/27,122,475343,2898,3027,2896,1402000000,2977,2950
باما,1394/03/30,84,595984,2900,2900,2858,1716000000,2860,2880
باما,1394/03/31,43,168984,2825,2826,2760,472035000,2760,2807
باما,1394/04/01,95,863826,2800,2884,2765,2434000000,2879,2817
باما,1394/04/02,90,824241,2884,2957,2884,2429000000,2957,2947
باما,1394/04/03,94,239288,3094,3094,2958,725956000,3030,3034
باما,1394/04/06,36,76930,2931,3000,2931,228709000,2935,3011
باما,1394/04/07,28,71860,2950,2960,2900,210641000,2960,2982
باما,1394/04/08,20,35196,2921,2950,2860,102310000,2860,2969
باما,1394/04/09,70,153847,2900,2930,2821,442138000,2821,2896
باما,1394/04/10,86,345708,2821,2899,2770,981976000,2897,2840
باما,1394/04/13,37,164886,2863,2890,2782,470756000,2875,2852
باما,1394/04/14,46,59730,2800,2860,2777,167729000,2791,2839
باما,1394/04/15,45,170827,2840,2870,2801,483436000,2814,2831
باما,1394/04/16,41,154615,2870,2870,2811,438649000,2869,2836
باما,1394/04/20,49,184149,2760,2870,2760,514048000,2810,2795
باما,1394/04/21,118,436880,2740,2816,2711,1212000000,2760,2773
باما,1394/04/22,116,518745,2840,2880,2792,1470000000,2842,2834
باما,1394/04/23,86,398196,2911,2911,2764,1126000000,2848,2828
باما,1394/04/24,72,327716,2957,2957,2763,919299000,2800,2805
باما,1394/04/29,51,232480,2810,2860,2799,657568000,2799,2828
باما,1394/05/18,25,80890,2500,2510,2451,200821000,2455,2505
باما,1394/05/19,60,363307,2480,2520,2422,897584000,2429,2471
باما,1394/05/21,94,523543,2402,2402,2348,1235000000,2390,2358
باما,1394/05/24,44,208075,2300,2320,2250,474713000,2270,2283
باما,1394/05/25,14,57350,2330,2340,2266,132193000,2266,2289
باما,1394/05/26,33,138241,2214,2357,2211,320487000,2350,2308
باما,1394/05/27,49,228356,2387,2387,2250,527082000,2250,2308
باما,1394/05/28,35,108227,2223,2290,2201,240048000,2202,2262
باما,1394/05/31,21,51150,2349,2350,2220,116949000,2310,2268
باما,1394/06/01,33,157927,2225,2345,2156,349254000,2201,2228
باما,1394/06/02,72,300380,2145,2160,2117,637829000,2117,2123
باما,1394/06/03,18,67200,2070,2140,2050,140308000,2080,2112
باما,1394/06/04,26,206843,2146,2159,2070,441287000,2070,2132
باما,1394/06/07,50,263915,2160,2200,2150,577397000,2190,2188
باما,1394/06/08,93,553513,2189,2279,2185,1230000000,2250,2222
باما,1394/06/09,23,138087,2277,2277,2220,309646000,2226,2234
باما,1394/06/10,19,82900,2299,2299,2207,184354000,2220,2230
باما,1394/06/11,27,136553,2267,2267,2199,305399000,2220,2234
باما,1394/06/14,22,73186,2229,2260,2205,164551000,2260,2239
باما,1394/06/15,41,97979,2245,2300,2207,219956000,2210,2242
باما,1394/06/16,31,174900,2250,2272,2219,394602000,2225,2253
باما,1394/07/05,15,41905,2060,2060,2050,85997000,2055,2050
باما,1394/07/06,21,65368,2080,2092,2062,136069000,2062,2059
باما,1394/07/07,6,4299,2063,2095,2063,8958000,2095,2059
باما,1394/07/08,25,89403,2100,2124,2073,186844000,2082,2071
باما,1394/07/11,17,49304,2080,2098,2063,102433000,2079,2072
باما,1394/07/12,37,141279,2100,2170,2100,304136000,2169,2119
باما,1394/07/13,76,910705,2195,2224,2195,2022000000,2224,2221
باما,1394/07/14,27,144174,2250,2261,2110,314420000,2110,2197
باما,1394/07/15,18,111655,2200,2200,2101,242242000,2195,2184
باما,1394/07/18,33,191741,2293,2293,2293,439662000,2293,2275
باما,1394/07/19,216,1530000,2388,2388,2330,3653000000,2388,2388
باما,1394/07/20,160,1245000,2430,2507,2381,3094000000,2506,2485
باما,1394/07/21,70,392768,2550,2550,2400,957401000,2438,2438
باما,1394/07/22,62,269658,2499,2500,2402,667313000,2441,2475
باما,1394/07/25,78,263968,2534,2537,2482,666546000,2534,2525
باما,1394/07/26,89,424746,2559,2575,2399,1067000000,2403,2513
باما,1394/07/27,23,30207,2450,2477,2391,73398000,2477,2501
باما,1394/07/28,20,115675,2442,2442,2376,276793000,2430,2439
باما,1394/07/29,20,46307,2379,2379,2318,108234000,2318,2416
باما,1394/08/12,97,594568,2296,2399,2296,1383000000,2296,2327
باما,1394/08/13,42,137614,2250,2380,2250,320541000,2300,2329
باما,1394/09/03,18,85818,2195,2260,2187,188715000,2260,2235
باما,1394/09/04,17,36010,2225,2250,2210,80050000,2210,2233
باما,1394/09/07,35,110240,2269,2269,2170,243147000,2172,2220
باما,1394/09/08,6,5127,2165,2250,2163,11143000,2168,2219
باما,1394/09/09,17,54700,2282,2282,2150,118692000,2150,2207
باما,1394/09/10,20,66533,2180,2204,2155,145108000,2162,2199
